danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,genre,song_name,Unnamed: 0,title
0.831,0.8140000000000001,2,-7.364,1,0.42,0.0598,0.0134,0.0556,0.389,156.985,audio_features,2Vc6NJ9PW9gD9q343XFRKx,spotify:track:2Vc6NJ9PW9gD9q343XFRKx,https://api.spotify.com/v1/tracks/2Vc6NJ9PW9gD9q343XFRKx,https://api.spotify.com/v1/audio-analysis/2Vc6NJ9PW9gD9q343XFRKx,124539,4,Dark Trap,Mercury: Retrograde,,
0.7190000000000001,0.493,8,-7.23,1,0.0794,0.401,0.0,0.11800000000000001,0.124,115.08,audio_features,7pgJBLVz5VmnL7uGHmRj6p,spotify:track:7pgJBLVz5VmnL7uGHmRj6p,https://api.spotify.com/v1/tracks/7pgJBLVz5VmnL7uGHmRj6p,https://api.spotify.com/v1/audio-analysis/7pgJBLVz5VmnL7uGHmRj6p,224427,4,Dark Trap,Pathology,,
0.85,0.893,5,-4.783,1,0.0623,0.0138,4.14e-06,0.37200000000000005,0.0391,218.05,audio_features,0vSWgAlfpye0WCGeNmuNhy,spotify:track:0vSWgAlfpye0WCGeNmuNhy,https://api.spotify.com/v1/tracks/0vSWgAlfpye0WCGeNmuNhy,https://api.spotify.com/v1/audio-analysis/0vSWgAlfpye0WCGeNmuNhy,98821,4,Dark Trap,Symbiote,,
0.47600000000000003,0.7809999999999999,0,-4.71,1,0.10300000000000001,0.0237,0.0,0.114,0.175,186.94799999999998,audio_features,0VSXnJqQkwuH2ei1nOQ1nu,spotify:track:0VSXnJqQkwuH2ei1nOQ1nu,https://api.spotify.com/v1/tracks/0VSXnJqQkwuH2ei1nOQ1nu,https://api.spotify.com/v1/audio-analysis/0VSXnJqQkwuH2ei1nOQ1nu,123661,3,Dark Trap,ProductOfDrugs (Prod. The Virus and Antidote),,
0.7979999999999999,0.624,2,-7.667999999999999,1,0.293,0.217,0.0,0.166,0.591,147.988,audio_features,4jCeguq9rMTlbMmPHuO7S3,spotify:track:4jCeguq9rMTlbMmPHuO7S3,https://api.spotify.com/v1/tracks/4jCeguq9rMTlbMmPHuO7S3,https://api.spotify.com/v1/audio-analysis/4jCeguq9rMTlbMmPHuO7S3,123298,4,Dark Trap,Venom,,
0.721,0.568,0,-11.295,1,0.414,0.0452,0.212,0.128,0.109,144.915,audio_features,6fsypiJHyWmeINsOLC1cos,spotify:track:6fsypiJHyWmeINsOLC1cos,https://api.spotify.com/v1/tracks/6fsypiJHyWmeINsOLC1cos,https://api.spotify.com/v1/audio-analysis/6fsypiJHyWmeINsOLC1cos,112511,4,Dark Trap,Gatteka,,
0.718,0.6679999999999999,8,-4.162,1,0.13699999999999998,0.0254,0.0078,0.124,0.038,130.826,audio_features,0XfQbq7DaMOmVXgQ71eA6E,spotify:track:0XfQbq7DaMOmVXgQ71eA6E,https://api.spotify.com/v1/tracks/0XfQbq7DaMOmVXgQ71eA6E,https://api.spotify.com/v1/audio-analysis/0XfQbq7DaMOmVXgQ71eA6E,77584,4,Dark Trap,kamikaze (+ pulse),,
0.6940000000000001,0.711,8,-5.525,1,0.221,0.0397,0.0,0.11199999999999999,0.28300000000000003,138.049,audio_features,0LLeuNBWPOg3XA73yab3PT,spotify:track:0LLeuNBWPOg3XA73yab3PT,https://api.spotify.com/v1/tracks/0LLeuNBWPOg3XA73yab3PT,https://api.spotify.com/v1/audio-analysis/0LLeuNBWPOg3XA73yab3PT,127524,3,Dark Trap,T.R.U. (Totally Rotten Underground),,
0.774,0.7509999999999999,1,-2.445,1,0.198,0.0614,0.0,0.0728,0.18899999999999997,219.96,audio_features,37gqBnUAZe8BY8WR56kDNk,spotify:track:37gqBnUAZe8BY8WR56kDNk,https://api.spotify.com/v1/tracks/37gqBnUAZe8BY8WR56kDNk,https://api.spotify.com/v1/audio-analysis/37gqBnUAZe8BY8WR56kDNk,140326,4,Dark Trap,I Put My Dick in Your Mental,,
0.893,0.907,11,-10.405999999999999,1,0.36700000000000005,0.152,0.0311,0.5579999999999999,0.302,199.942,audio_features,2ggqfj97qyiORmXoVFzP5j,spotify:track:2ggqfj97qyiORmXoVFzP5j,https://api.spotify.com/v1/tracks/2ggqfj97qyiORmXoVFzP5j,https://api.spotify.com/v1/audio-analysis/2ggqfj97qyiORmXoVFzP5j,121979,4,Dark Trap,Andromeda,,
0.8640000000000001,0.365,8,-10.219,1,0.0655,0.187,0.0,0.11599999999999999,0.0478,189.938,audio_features,7EL7ifncK2PWFYThJjzR25,spotify:track:7EL7ifncK2PWFYThJjzR25,https://api.spotify.com/v1/tracks/7EL7ifncK2PWFYThJjzR25,https://api.spotify.com/v1/audio-analysis/7EL7ifncK2PWFYThJjzR25,101172,4,Dark Trap,BRAINFOOD,,
0.736,0.932,1,-3.7260000000000004,1,0.271,0.146,0.0025,0.182,0.18,124.514,audio_features,0QiF3l617bIKVrkBqgdMHE,spotify:track:0QiF3l617bIKVrkBqgdMHE,https://api.spotify.com/v1/tracks/0QiF3l617bIKVrkBqgdMHE,https://api.spotify.com/v1/audio-analysis/0QiF3l617bIKVrkBqgdMHE,115775,4,Dark Trap,Troll Under the Bridge,,
0.825,0.7609999999999999,8,-5.388999999999999,1,0.10400000000000001,0.0111,0.00359,0.33399999999999996,0.161,149.97,audio_features,5o7ZDvfOry1MNhNLBOJulo,spotify:track:5o7ZDvfOry1MNhNLBOJulo,https://api.spotify.com/v1/tracks/5o7ZDvfOry1MNhNLBOJulo,https://api.spotify.com/v1/audio-analysis/5o7ZDvfOry1MNhNLBOJulo,163371,4,Dark Trap,1000 Rounds,,
0.767,0.5760000000000001,10,-9.683,0,0.256,0.145,2.61e-06,0.0968,0.187,139.99,audio_features,1umsRbM7L4ju7rn9aU8Ju6,spotify:track:1umsRbM7L4ju7rn9aU8Ju6,https://api.spotify.com/v1/tracks/1umsRbM7L4ju7rn9aU8Ju6,https://api.spotify.com/v1/audio-analysis/1umsRbM7L4ju7rn9aU8Ju6,96062,4,Dark Trap,Sacrifice,,
0.765,0.726,5,-5.58,1,0.191,0.0077,0.0,0.619,0.27,128.014,audio_features,4SKqOHKYU5pgHr5UiVKiQN,spotify:track:4SKqOHKYU5pgHr5UiVKiQN,https://api.spotify.com/v1/tracks/4SKqOHKYU5pgHr5UiVKiQN,https://api.spotify.com/v1/audio-analysis/4SKqOHKYU5pgHr5UiVKiQN,135079,4,Dark Trap,Backpack,,
0.617,0.541,6,-4.113,1,0.78,0.125,0.0,0.369,0.43,159.996,audio_features,4Ag89Y7qSUrpxcgRtSzSam,spotify:track:4Ag89Y7qSUrpxcgRtSzSam,https://api.spotify.com/v1/tracks/4Ag89Y7qSUrpxcgRtSzSam,https://api.spotify.com/v1/audio-analysis/4Ag89Y7qSUrpxcgRtSzSam,107999,4,Dark Trap,D(R)Own,,
0.755,0.298,1,-15.032,1,0.0915,0.154,0.32899999999999996,0.10099999999999999,0.0372,199.958,audio_features,28xkYPSP0P5xu5vT6MQfCy,spotify:track:28xkYPSP0P5xu5vT6MQfCy,https://api.spotify.com/v1/tracks/28xkYPSP0P5xu5vT6MQfCy,https://api.spotify.com/v1/audio-analysis/28xkYPSP0P5xu5vT6MQfCy,123054,4,Dark Trap,"Okay,ButThisIsTheLastTime",,
0.8140000000000001,0.575,11,-9.635,1,0.0635,0.172,0.000291,0.109,0.28800000000000003,120.00399999999999,audio_features,3uE1swbcRp5BrO64UNy6Ex,spotify:track:3uE1swbcRp5BrO64UNy6Ex,https://api.spotify.com/v1/tracks/3uE1swbcRp5BrO64UNy6Ex,https://api.spotify.com/v1/audio-analysis/3uE1swbcRp5BrO64UNy6Ex,192833,4,Dark Trap,TakingOutTheTrash,,
0.812,0.813,10,-5.582999999999999,0,0.0984,0.0987,0.00015,0.0758,0.348,128.066,audio_features,3KJrwOuqiEwHq6QTreZT61,spotify:track:3KJrwOuqiEwHq6QTreZT61,https://api.spotify.com/v1/tracks/3KJrwOuqiEwHq6QTreZT61,https://api.spotify.com/v1/audio-analysis/3KJrwOuqiEwHq6QTreZT61,180880,4,Dark Trap,Io sono qui,,
0.8490000000000001,0.648,7,-6.188,1,0.0832,0.0725,0.00592,0.0984,0.196,212.15,audio_features,4irYeuAi87yyGHcI4h9s0x,spotify:track:4irYeuAi87yyGHcI4h9s0x,https://api.spotify.com/v1/tracks/4irYeuAi87yyGHcI4h9s0x,https://api.spotify.com/v1/audio-analysis/4irYeuAi87yyGHcI4h9s0x,111020,4,Dark Trap,Paris,,
0.602,0.578,0,-5.61,1,0.0283,0.0343,0.0,0.16399999999999998,0.156,114.956,audio_features,4QhUXx4ON40TIBrZIlnIke,spotify:track:4QhUXx4ON40TIBrZIlnIke,https://api.spotify.com/v1/tracks/4QhUXx4ON40TIBrZIlnIke,https://api.spotify.com/v1/audio-analysis/4QhUXx4ON40TIBrZIlnIke,186261,4,Dark Trap,Murder,,
0.8759999999999999,0.768,7,-6.606,1,0.201,0.11199999999999999,1.21e-05,0.28300000000000003,0.72,111.958,audio_features,09320vyX4qHd4GjHIpy5w0,spotify:track:09320vyX4qHd4GjHIpy5w0,https://api.spotify.com/v1/tracks/09320vyX4qHd4GjHIpy5w0,https://api.spotify.com/v1/audio-analysis/09320vyX4qHd4GjHIpy5w0,124676,5,Dark Trap,High 'N Mighty,,
0.777,0.711,0,-3.9019999999999997,1,0.13699999999999998,0.312,0.0,0.205,0.293,139.97299999999998,audio_features,2SZLtfY7dz7NLSxxnvDDis,spotify:track:2SZLtfY7dz7NLSxxnvDDis,https://api.spotify.com/v1/tracks/2SZLtfY7dz7NLSxxnvDDis,https://api.spotify.com/v1/audio-analysis/2SZLtfY7dz7NLSxxnvDDis,153685,4,Dark Trap,Euronymous,,
0.8290000000000001,0.59,9,-7.818,0,0.263,0.0391,0.0107,0.114,0.332,112.97,audio_features,0KRKqIJPX6LT9v1ZQGbfn7,spotify:track:0KRKqIJPX6LT9v1ZQGbfn7,https://api.spotify.com/v1/tracks/0KRKqIJPX6LT9v1ZQGbfn7,https://api.spotify.com/v1/audio-analysis/0KRKqIJPX6LT9v1ZQGbfn7,127128,4,Dark Trap,Hades,,
0.7829999999999999,0.929,11,0.551,0,0.0893,0.2,0.00414,0.6890000000000001,0.152,118.03,audio_features,0jsbEBnXWgHLkvjV49vYVG,spotify:track:0jsbEBnXWgHLkvjV49vYVG,https://api.spotify.com/v1/tracks/0jsbEBnXWgHLkvjV49vYVG,https://api.spotify.com/v1/audio-analysis/0jsbEBnXWgHLkvjV49vYVG,134447,4,Dark Trap,Nails,,
0.787,0.727,1,-7.194,1,0.265,0.000997,0.0017,0.376,0.21,141.52,audio_features,0wxwXyrJYHyGUKlBaCIhgp,spotify:track:0wxwXyrJYHyGUKlBaCIhgp,https://api.spotify.com/v1/tracks/0wxwXyrJYHyGUKlBaCIhgp,https://api.spotify.com/v1/audio-analysis/0wxwXyrJYHyGUKlBaCIhgp,140038,4,Dark Trap,Squeeze,,
0.705,0.648,4,-10.467,0,0.141,0.00476,0.000595,0.373,0.39799999999999996,130.037,audio_features,0vUhboOWxdj97denl4T91p,spotify:track:0vUhboOWxdj97denl4T91p,https://api.spotify.com/v1/tracks/0vUhboOWxdj97denl4T91p,https://api.spotify.com/v1/audio-analysis/0vUhboOWxdj97denl4T91p,155350,4,Dark Trap,No Teeth,,
0.69,0.76,1,-5.431,1,0.0895,0.0525,0.0,0.134,0.0797,125.01299999999999,audio_features,6xEnbXM1us9fDJy2LC0lru,spotify:track:6xEnbXM1us9fDJy2LC0lru,https://api.spotify.com/v1/tracks/6xEnbXM1us9fDJy2LC0lru,https://api.spotify.com/v1/audio-analysis/6xEnbXM1us9fDJy2LC0lru,154929,4,Dark Trap,Bang Ya Fucking Head,,
0.799,0.966,0,-4.586,1,0.366,0.08900000000000001,0.0,0.6579999999999999,0.8640000000000001,139.967,audio_features,4ZOxwKHoHlhIZPzucOUVoY,spotify:track:4ZOxwKHoHlhIZPzucOUVoY,https://api.spotify.com/v1/tracks/4ZOxwKHoHlhIZPzucOUVoY,https://api.spotify.com/v1/audio-analysis/4ZOxwKHoHlhIZPzucOUVoY,137221,4,Dark Trap,BLUE JUICE,,
0.9359999999999999,0.47600000000000003,1,-11.439,1,0.40299999999999997,0.0139,0.0,0.402,0.363,121.979,audio_features,2AoJ1NSLrqfppo6oT5Bqc8,spotify:track:2AoJ1NSLrqfppo6oT5Bqc8,https://api.spotify.com/v1/tracks/2AoJ1NSLrqfppo6oT5Bqc8,https://api.spotify.com/v1/audio-analysis/2AoJ1NSLrqfppo6oT5Bqc8,175543,4,Dark Trap,Loch Ness,,
0.838,0.634,8,-8.076,1,0.0931,0.005370000000000001,0.0,0.111,0.22399999999999998,114.771,audio_features,30Q5BsSJBLb9SGm0BtuJj4,spotify:track:30Q5BsSJBLb9SGm0BtuJj4,https://api.spotify.com/v1/tracks/30Q5BsSJBLb9SGm0BtuJj4,https://api.spotify.com/v1/audio-analysis/30Q5BsSJBLb9SGm0BtuJj4,168202,4,Dark Trap,Hold Uh,,
0.9640000000000001,0.51,1,-7.002999999999999,1,0.242,0.00021400000000000002,6.47e-06,0.0549,0.474,130.028,audio_features,3Xi5SYx5pOqte5tLKHEmPb,spotify:track:3Xi5SYx5pOqte5tLKHEmPb,https://api.spotify.com/v1/tracks/3Xi5SYx5pOqte5tLKHEmPb,https://api.spotify.com/v1/audio-analysis/3Xi5SYx5pOqte5tLKHEmPb,136650,4,Dark Trap,Bone Saw,,
0.83,0.387,10,-12.908,0,0.345,0.0858,0.40700000000000003,0.0926,0.561,120.006,audio_features,2bmSQxuradc103RXzvjTkE,spotify:track:2bmSQxuradc103RXzvjTkE,https://api.spotify.com/v1/tracks/2bmSQxuradc103RXzvjTkE,https://api.spotify.com/v1/audio-analysis/2bmSQxuradc103RXzvjTkE,132193,4,Dark Trap,Coffin Wave,,
0.455,0.525,5,-12.692,0,0.0455,0.136,0.7340000000000001,0.125,0.27899999999999997,119.999,audio_features,2Tu4kHEeIVFn6Re2ybm2lQ,spotify:track:2Tu4kHEeIVFn6Re2ybm2lQ,https://api.spotify.com/v1/tracks/2Tu4kHEeIVFn6Re2ybm2lQ,https://api.spotify.com/v1/audio-analysis/2Tu4kHEeIVFn6Re2ybm2lQ,159974,4,Dark Trap,OhNo!,,
0.748,0.573,9,-9.907,1,0.0543,0.484,2.59e-06,0.0929,0.193,117.962,audio_features,0QVG9r2otIXoWCHyh09SqU,spotify:track:0QVG9r2otIXoWCHyh09SqU,https://api.spotify.com/v1/tracks/0QVG9r2otIXoWCHyh09SqU,https://api.spotify.com/v1/audio-analysis/0QVG9r2otIXoWCHyh09SqU,195875,4,Dark Trap,TheArtOfCremation,,
0.745,0.688,6,-9.263,0,0.10300000000000001,0.264,0.009059999999999999,0.077,0.522,114.99700000000001,audio_features,78w3kPqUAwDjADBY3xAGHl,spotify:track:78w3kPqUAwDjADBY3xAGHl,https://api.spotify.com/v1/tracks/78w3kPqUAwDjADBY3xAGHl,https://api.spotify.com/v1/audio-analysis/78w3kPqUAwDjADBY3xAGHl,107750,5,Dark Trap,OakGroveRoad,,
0.722,0.519,0,-12.870999999999999,1,0.0516,0.0253,0.0114,0.18899999999999997,0.128,199.97400000000002,audio_features,02803el8p3mKqcJzJ3Agpp,spotify:track:02803el8p3mKqcJzJ3Agpp,https://api.spotify.com/v1/tracks/02803el8p3mKqcJzJ3Agpp,https://api.spotify.com/v1/audio-analysis/02803el8p3mKqcJzJ3Agpp,143833,4,Dark Trap,WhatWasThat,,
0.657,0.473,1,-12.050999999999998,1,0.0368,0.23199999999999998,0.026000000000000002,0.10800000000000001,0.153,150.029,audio_features,5Njf3sGQoxQJqcR4gUbttZ,spotify:track:5Njf3sGQoxQJqcR4gUbttZ,https://api.spotify.com/v1/tracks/5Njf3sGQoxQJqcR4gUbttZ,https://api.spotify.com/v1/audio-analysis/5Njf3sGQoxQJqcR4gUbttZ,114500,4,Dark Trap,FunnyToSeeYouHere,,
0.9359999999999999,0.474,1,-9.693999999999999,1,0.39299999999999996,0.0213,0.0,0.111,0.168,129.999,audio_features,7BLFY8GsDyUkaARTv0uwKH,spotify:track:7BLFY8GsDyUkaARTv0uwKH,https://api.spotify.com/v1/tracks/7BLFY8GsDyUkaARTv0uwKH,https://api.spotify.com/v1/audio-analysis/7BLFY8GsDyUkaARTv0uwKH,166910,4,Dark Trap,John Dee,,
0.765,0.62,10,-7.337999999999999,0,0.14,0.0643,0.00018999999999999998,0.16,0.218,219.808,audio_features,2bmjoUqk5ELqted5imBtMd,spotify:track:2bmjoUqk5ELqted5imBtMd,https://api.spotify.com/v1/tracks/2bmjoUqk5ELqted5imBtMd,https://api.spotify.com/v1/audio-analysis/2bmjoUqk5ELqted5imBtMd,131350,4,Dark Trap,Kybalion,,
0.65,0.9520000000000001,11,-2.6860000000000004,1,0.5,0.0912,0.35100000000000003,0.337,0.256,209.998,audio_features,4Uk53I7Lz6bzctGoyNxf8W,spotify:track:4Uk53I7Lz6bzctGoyNxf8W,https://api.spotify.com/v1/tracks/4Uk53I7Lz6bzctGoyNxf8W,https://api.spotify.com/v1/audio-analysis/4Uk53I7Lz6bzctGoyNxf8W,122211,3,Dark Trap,Killer,,
0.386,0.9359999999999999,7,-5.551,1,0.604,0.10099999999999999,0.0019199999999999998,0.381,0.193,190.15,audio_features,7FoW7q7uZGOHlGi9w5mUxN,spotify:track:7FoW7q7uZGOHlGi9w5mUxN,https://api.spotify.com/v1/tracks/7FoW7q7uZGOHlGi9w5mUxN,https://api.spotify.com/v1/audio-analysis/7FoW7q7uZGOHlGi9w5mUxN,197053,4,Dark Trap,608,,
0.563,0.68,0,-5.952999999999999,1,0.39,0.23600000000000002,3.28e-05,0.122,0.0396,180.218,audio_features,6dm3aVYUAfZtdFeLAG6R9F,spotify:track:6dm3aVYUAfZtdFeLAG6R9F,https://api.spotify.com/v1/tracks/6dm3aVYUAfZtdFeLAG6R9F,https://api.spotify.com/v1/audio-analysis/6dm3aVYUAfZtdFeLAG6R9F,110000,3,Dark Trap,Eternal Dreams,,
0.777,0.902,1,-3.915,1,0.349,0.0905,0.0,0.275,0.462,129.985,audio_features,5QArbhcHhpW48U4cK3Joj9,spotify:track:5QArbhcHhpW48U4cK3Joj9,https://api.spotify.com/v1/tracks/5QArbhcHhpW48U4cK3Joj9,https://api.spotify.com/v1/audio-analysis/5QArbhcHhpW48U4cK3Joj9,134844,4,Dark Trap,Nightmare Choir (I Been Asleep Too Long),,
0.607,0.7490000000000001,2,-4.497,1,0.0728,0.006409999999999999,7.659999999999999e-05,0.23399999999999999,0.18,121.829,audio_features,2Bkfvi3pCcwoJwnmd45OnA,spotify:track:2Bkfvi3pCcwoJwnmd45OnA,https://api.spotify.com/v1/tracks/2Bkfvi3pCcwoJwnmd45OnA,https://api.spotify.com/v1/audio-analysis/2Bkfvi3pCcwoJwnmd45OnA,126224,4,Dark Trap,Exodus,,
0.628,0.573,1,-8.161,1,0.0673,0.0036200000000000004,0.0,0.0874,0.0387,115.50299999999999,audio_features,2XLdbJRfl2UHHzIurEFgAA,spotify:track:2XLdbJRfl2UHHzIurEFgAA,https://api.spotify.com/v1/tracks/2XLdbJRfl2UHHzIurEFgAA,https://api.spotify.com/v1/audio-analysis/2XLdbJRfl2UHHzIurEFgAA,132702,3,Dark Trap,Vengeance,,
0.46799999999999997,0.325,1,-8.267000000000001,1,0.245,0.115,0.726,0.109,0.0387,191.18599999999998,audio_features,2Iwf4sAnEgkuxxnJ61du8z,spotify:track:2Iwf4sAnEgkuxxnJ61du8z,https://api.spotify.com/v1/tracks/2Iwf4sAnEgkuxxnJ61du8z,https://api.spotify.com/v1/audio-analysis/2Iwf4sAnEgkuxxnJ61du8z,90645,3,Dark Trap,Claustrophobia,,
0.512,0.44,1,-7.816,1,0.233,0.00386,3.11e-06,0.233,0.132,207.99200000000002,audio_features,04MKRNwoX7TqQkA0ZrtMbC,spotify:track:04MKRNwoX7TqQkA0ZrtMbC,https://api.spotify.com/v1/tracks/04MKRNwoX7TqQkA0ZrtMbC,https://api.spotify.com/v1/audio-analysis/04MKRNwoX7TqQkA0ZrtMbC,86805,1,Dark Trap,Rearranged,,
0.504,0.48,3,-8.885,1,0.045,0.8320000000000001,0.000252,0.10099999999999999,0.878,173.993,audio_features,5DV8yoddFyjLVfRT6pfAht,spotify:track:5DV8yoddFyjLVfRT6pfAht,https://api.spotify.com/v1/tracks/5DV8yoddFyjLVfRT6pfAht,https://api.spotify.com/v1/audio-analysis/5DV8yoddFyjLVfRT6pfAht,176901,4,Dark Trap,Paralax,,
